City,Food_type,OrderCount
Hyderabad,"Mughlai,Biryani,Indian,Chinese,Tandoor",1
Hyderabad,"Arabian,Tandoor,North Indian,Chinese,Desserts",1
Hyderabad,"Kerala,South Indian",1
Hyderabad,"Indian,South Indian",1
Hyderabad,"Beverages  Snacks",1
Hyderabad,"Chinese,Asian,Thai,Seafood,Singaporean",1
Hyderabad,"Fast Food,Tibetan,Chinese",1
Hyderabad,"Bakery  Desserts  Australian  Snacks",1
Hyderabad,"Beverages  Chaat  Desserts  Fast Food  Juices",1
Hyderabad,"Bakery  Desserts  Fast Food  Snacks",1
Hyderabad,"Pizzas,American,Fast Food,Desserts,Beverages",1
Hyderabad,"Fast Food,North Indian",1
Hyderabad,"Biryani,Kebabs,Indian,Chinese,Mughlai,Fast Food",1
Hyderabad,"American,Continental,Indian",1
Hyderabad,"Arabian,Mughlai,Indian",1
Hyderabad,"Healthy Food  Juices  Continental",1
Hyderabad,"Indian,Italian,Fast Food",1
Hyderabad,"Biryani,South Indian,North Indian",1
Hyderabad,"Fast Food  Combo  Desserts  Beverages",1
Hyderabad,"North Indian  Chinese  Biryani  Fast Food",1
Hyderabad,"Biryani,Kebabs,Hyderabadi,Tandoor",1
Hyderabad,"Chinese,Pan-Asian,Seafood,Oriental",1
Hyderabad,Punjabi,1
Hyderabad,"Indian,Fast Food,Snacks",1
Hyderabad,"Desserts  Bakery  Ice Cream",1
Hyderabad,"Indian,North Indian,Chinese,Biryani,Tandoor",1
Hyderabad,"Bakery,Desserts,Ice Cream,Beverages",1
Hyderabad,"Bakery,Desserts,Ice Cream",1
Hyderabad,"Snacks,Desserts",1
Hyderabad,"Fast Food,Snacks,North Indian,Desserts,Beverages,Street Food,Combo",1
Hyderabad,"Beverages,South Indian",1
Hyderabad,"Snacks  Fast Food  Beverages",1
Hyderabad,"North Indian  Combo  Street Food  Fast Food  Beverages",1
Hyderabad,"Pizzas  Fast Food",1
Hyderabad,"Biryani,Telangana",1
Hyderabad,"Chinese,Indian,Snacks",1
Hyderabad,"Fast Food,North Indian,Snacks,Salads,Beverages,Indian,Pastas",1
Hyderabad,"Biryani,North Indian,Arabian,Lebanese",1
Hyderabad,"Chinese,Thai,Seafood,Asian",1
Hyderabad,"Hyderabadi,Tandoor,Kebabs,Grill,Biryani",1
Hyderabad,"Beverages  South Indian",1
Hyderabad,"Italian,Continental",1
Hyderabad,"Italian,Pizzas,Pastas,Indian,Desserts,American",1
Hyderabad,"Indian,Fast Food,Chinese,Arabian,Desserts",1
Hyderabad,"South Indian,Chinese,Pizzas,Andhra,Hyderabadi,Maharashtrian,Fast Food,Salads,Beverages,North Indian",1
Hyderabad,"Snacks,Beverages",1
Hyderabad,"Italian,Desserts,Pizzas,American,Snacks",1
Hyderabad,Juices,1
Hyderabad,"Biryani,Hyderabadi,Desserts",1
Hyderabad,"Desserts,Bakery,Sweets,Ice Cream,Beverages,Juices,Bengali",1
Hyderabad,"Healthy Food,Salads",1
Hyderabad,"North Indian,Snacks,Beverages",1
Hyderabad,"Snacks  Indian",1
Hyderabad,"North Indian  South Indian  Biryani  Tandoor",1
Hyderabad,"Arabian,Continental,Haleem",1
Hyderabad,"Bakery,Fast Food,Pizzas,Sweets",1
Hyderabad,"South Indian,Thalis,Beverages",1
Hyderabad,"Desserts,Arabian,Beverages",1
Hyderabad,"Home Food,Indian,Healthy Food,North Indian,Snacks,Maharashtrian,Sweets,South Indian,Combo,Desserts,Beverages,Kebabs",1
Hyderabad,"Asian,North Indian,Continental,Healthy Food,Punjabi,Home Food,Oriental,Desserts,Beverages,Pan-Asian,Bengali,Mangalorean,Kashmiri,Lucknowi,Chinese,Sweets,Kebabs,Combo,Rajasthani,Awadhi",1
Hyderabad,"North Indian  Punjabi  Home Food  Indian  Snacks  Combo  Desserts  Beverages  South Indian  Continental  Chettinad  Healthy Food  Chinese  Sweets",1
Hyderabad,"Biryani,Hyderabadi,Indian,Kebabs,North Indian,South Indian,Andhra,Afghani,Combo,Desserts,Beverages,Punjabi,Kerala,Sweets,Arabian,Lucknowi,Parsi,Tandoor",1
Hyderabad,"Pizzas  Italian  Fast Food  Desserts  Continental  Mediterranean  American  Mexican  Indian  Combo  Beverages  Bakery  French  Sweets  European  Lebanese  Snacks",1
Hyderabad,"Chaat,Fast Food",1
Hyderabad,"Indian  Fast Food  Bakery",1
Hyderabad,Pastas,1
Hyderabad,"Street Food,Indian,South Indian,Snacks",1
Hyderabad,"Asian,Chinese,Thai",1
Hyderabad,"Desserts  Haleem  Home Food  Healthy Food  Fast Food  Sweets  Beverages",1
Hyderabad,Chaat,1
Hyderabad,"South Indian,Chinese,Desserts",1
Hyderabad,"Sweets  Desserts  Chaat  Snacks  Bakery",1
Hyderabad,"Arabian,Lebanese,Street Food",1
Hyderabad,"Arabian,Biryani,Chinese",1
Hyderabad,"Pizzas,Italian,Continental,American,Desserts",1
Hyderabad,"Italian,Pizzas,Pastas,Desserts,Beverages",1
Hyderabad,"Chaat  Snacks  Beverages",1
Hyderabad,"Biryani,Tandoor,Chinese,North Indian,Desserts,Kebabs,Mughlai",1
Hyderabad,"Chinese,Biryani,Kebabs,South Indian,Beverages",1
Hyderabad,"Street Food  South Indian",1
Hyderabad,"North Indian,Biryani,Tandoor,Chinese",1
Hyderabad,"Street Food,Indian,Chinese",1
Hyderabad,"Arabian,Lebanese,Beverages,Juices",1
Hyderabad,"Snacks,Biryani,Fast Food",1
Hyderabad,"Pizzas,American,Italian,Snacks",1
Hyderabad,"Street Food  Indian  Beverages",1
Hyderabad,"North Indian,Biryani,Mughlai,Tandoor,Snacks",1
Hyderabad,"Fast Food,Beverages,Juices",1
Hyderabad,"North Indian,Indian,Snacks,Beverages",1
Hyderabad,"Chinese,Biryani,Indian",1
Hyderabad,"Desserts,Bakery,Beverages",1
Hyderabad,Haleem,1
Hyderabad,"Desserts,Ice Cream,Healthy Food",1
Hyderabad,"Indian  South Indian",1
Hyderabad,"Barbecue,Biryani,Chinese",1
Hyderabad,"Desserts,Waffle",1
Hyderabad,"Sweets  Snacks  Bengali",1
Hyderabad,"Sweets  Snacks",1
Hyderabad,"Biryani,Indian,Chinese,Seafood",1
Hyderabad,"Indian,Arabian,Chinese",1
Hyderabad,"South Indian,Chinese,Fast Food,Snacks",1
Hyderabad,"Juices,Beverages",1
Hyderabad,"Juices  Beverages  Desserts",1
Hyderabad,"Beverages,Ice Cream",1
Hyderabad,"Chinese,Tandoor,Seafood,Biryani,Indian",1
Hyderabad,"Arabian  Fast Food",1
Hyderabad,"Fast Food,Pizzas,Pastas,Beverages",1
Hyderabad,"North Indian,Biryani,Chinese,Tandoor,Indian",1
Hyderabad,"Indian,Mughlai",1
Hyderabad,"Indian,Hyderabadi",1
Hyderabad,"Biryani,Desserts,Grill",1
Hyderabad,"American,Italian,Indian",1
Hyderabad,"Bakery  Desserts  Fast Food",1
Hyderabad,"Chinese  Indian  Biryani",1
Hyderabad,"Fast Food,Snacks,Italian,Chinese,Beverages",1
Hyderabad,"Desserts,Fast Food",1
Hyderabad,"Biryani,Tandoor,Mughlai",1
Hyderabad,"Juices,Salads",1
Hyderabad,"Chaat,Snacks",1
Hyderabad,"Continental,Ice Cream,Bakery,Beverages",1
Hyderabad,"Tandoor,Indian,Chinese,Biryani,Beverages",1
Hyderabad,"Biryani,Chinese,Tandoor",1
Hyderabad,"Biryani,Kebabs,Mughlai,North Indian",1
Hyderabad,"Chaat,Fast Food,Maharashtrian,Beverages",1
Hyderabad,"Indian,Chinese,Combo,Beverages",1
Hyderabad,"Bakery,Sweets,Desserts",1
Hyderabad,"Bakery  Desserts  Ice Cream",1
Hyderabad,"Chinese,South Indian,Snacks,Combo,Beverages,Desserts",1
Hyderabad,"Chinese,Indian,Biryani",1
Hyderabad,"Indian,Biryani,Snacks,Fast Food,Beverages",1
Hyderabad,"Pizzas,Italian,Mexican,Desserts,Fast Food,Snacks",1
